ID,Coordinates,Date,Hour,Variable,Classification,Description,Picture,,,,,,,,,,,,,,,,,,,
152,POINT Z (-99.14667405 19.43109705 0.000),11/24/2022,13:00:23.232,Poor infrastructure,without manhole cover,,recolección de datos - centro_20221124_130040071.jpg,,,,,,,,,,,,,,,,,,,
153,POINT Z (-99.14789211 19.43159282 0.000),11/24/2022,13:03:17.512,Poor infrastructure,without manhole cover,,recolección de datos - centro_20221124_130322874.jpg,,,,,,,,,,,,,,,,,,,
154,POINT Z (-99.14787970 19.43165163 0.000),11/24/2022,13:04:48.037,Physical aspects in poor condition,grafitti,,,,,,,,,,,,,,,,,,,,,
155,POINT Z (-99.14780159 19.43212969 0.000),11/24/2022,13:06:14.502,Incivility,Drug addicts,,,,,,,,,,,,,,,,,,,,,
156,POINT Z (-99.14538324 19.43183502 0.000),11/24/2022,13:14:03.617,Poor infrastructure,"hole in crossing // Risky intersections for pedestrians
",,recolección de datos - centro_20221124_131409580.jpg,,,,,,,,,,,,,,,,,,,
157,POINT Z (-99.14639611 19.43198046 0.000),11/24/2022,13:16:23.477,Positive elements,Panic button,,,,,,,,,,,,,,,,,,,,,
158,POINT Z (-99.14771844 19.43258056 0.000),11/24/2022,13:19:29.895,Poor infrastructure,Discontinuous pedestrian strip,,recolección de datos - centro_20221124_131934621.jpg,,,,,,,,,,,,,,,,,,,
159,POINT Z (-99.14630894 19.43238801 0.000),11/24/2022,13:24:43.784,Poor infrastructure,without manhole cover,,recolección de datos - centro_20221124_132454480.jpg,,,,,,,,,,,,,,,,,,,
160,POINT Z (-99.14523169 19.43252555 0.000),11/24/2022,13:27:15.891,Poor infrastructure,broken manhole cover,,recolección de datos - centro_20221124_132720951.jpg,,,,,,,,,,,,,,,,,,,
161,POINT Z (-99.14534569 19.43185873 0.000),11/24/2022,13:28:35.625,Poor infrastructure,Discontinuous pedestrian strip,,recolección de datos - centro_20221124_132840781.jpg,,,,,,,,,,,,,,,,,,,
162,POINT Z (-99.14530244 19.43180340 0.000),11/24/2022,13:29:27.635,Poor infrastructure,cracked floor,,recolección de datos - centro_20221124_132932270.jpg,,,,,,,,,,,,,,,,,,,
163,POINT Z (-99.14547075 19.43264253 0.000),11/24/2022,13:32:04.761,Poor infrastructure,,,recolección de datos - centro_20221124_133210743.jpg,,,,,,,,,,,,,,,,,,,
164,POINT Z (-99.14665628 19.43282212 0.000),11/24/2022,13:34:22.773,Positive elements,Panic button,,,,,,,,,,,,,,,,,,,,,
165,POINT Z (-99.14652485 19.43373018 0.000),11/24/2022,13:41:01.953,Physical aspects in poor condition,grafitti,,recolección de datos - centro_20221124_134116535.jpg,,,,,,,,,,,,,,,,,,,
166,POINT Z (-99.14676692 19.43372733 0.000),11/24/2022,13:41:33.943,Positive elements,Panic button,,,,,,,,,,,,,,,,,,,,,
167,POINT Z (-99.14630424 19.43277691 0.000),11/24/2022,13:45:40.096,Poor infrastructure,Discontinuous pedestrian strip,,recolección de datos - centro_20221124_134558767.jpg,,,,,,,,,,,,,,,,,,,
168,POINT Z (-99.14596763 19.43354648 0.000),11/24/2022,13:47:59.013,Incivility,Drug addicts,,,,,,,,,,,,,,,,,,,,,
169,POINT Z (-99.14507546 19.43333085 0.000),11/24/2022,13:49:35.713,Poor infrastructure,without manhole cover,,recolección de datos - centro_20221124_134949567.jpg,,,,,,,,,,,,,,,,,,,
170,POINT Z (-99.14502751 19.43316169 0.000),11/24/2022,13:50:05.312,Physical aspects in poor condition,Abandoned building,,recolección de datos - centro_20221124_135015851.jpg,,,,,,,,,,,,,,,,,,,
171,POINT Z (-99.14516330 19.43300708 0.000),11/24/2022,13:51:03.467,Poor infrastructure,Inestable manhole cover,,recolección de datos - centro_20221124_135109681.jpg,,,,,,,,,,,,,,,,,,,
173,POINT Z (-99.14662141 19.43506348 0.000),11/25/2022,12:00:15.558,Poor infrastructure,hoyos en banqueta,,recolección de datos - centro_20221125_120034605.jpg,,,,,,,,,,,,,,,,,,,
174,POINT Z (-99.14669316 19.43398786 0.000),11/25/2022,12:03:51.987,Poor infrastructure,broken manhole cover,,recolección de datos - centro_20221125_120400494.jpg,,,,,,,,,,,,,,,,,,,
175,POINT Z (-99.14665360 19.43426166 0.000),11/25/2022,12:04:34.398,Poor infrastructure,broken manhole cover,,recolección de datos - centro_20221125_120446191.jpg,,,,,,,,,,,,,,,,,,,
176,POINT Z (-99.14589353 19.43466320 0.000),11/25/2022,12:07:35.415,Poor infrastructure,Discontinuous pedestrian strip,,recolección de datos - centro_20221125_120741437.jpg,,,,,,,,,,,,,,,,,,,
177,POINT Z (-99.14575204 19.43488800 0.000),11/25/2022,12:10:13.958,Poor infrastructure,Discontinuous pedestrian strip,,recolección de datos - centro_20221125_121027687.jpg,,,,,,,,,,,,,,,,,,,
178,POINT Z (-99.14543688 19.43493069 0.000),11/25/2022,12:11:27.132,Poor infrastructure,broken manhole cover,,recolección de datos - centro_20221125_121139967.jpg,,,,,,,,,,,,,,,,,,,
179,POINT Z (-99.14273120 19.43447761 0.000),11/25/2022,12:25:56.114,Obstacles,Informal Commerce ,,,,,,,,,,,,,,,,,,,,,
180,POINT Z (-99.14268661 19.43447603 0.000),11/25/2022,12:26:19.159,Obstacles,Informal Commerce s,,,,,,,,,,,,,,,,,,,,,
181,POINT Z (-99.14194431 19.43431225 0.000),11/25/2022,12:27:33.247,Positive elements,Panic button,,,,,,,,,,,,,,,,,,,,,
182,POINT Z (-99.14199896 19.43388795 0.000),11/25/2022,12:28:32.466,Poor infrastructure,Discontinuous pedestrian strip,,recolección de datos - centro_20221125_122843980.jpg,,,,,,,,,,,,,,,,,,,
183,POINT Z (-99.14200868 19.43307000 0.000),11/25/2022,12:30:42.612,Poor infrastructure,Discontinuous pedestrian strip,,,,,,,,,,,,,,,,,,,,,
184,POINT Z (-99.14188195 19.43345637 0.000),11/25/2022,12:31:51.998,Incivility,Homelessness,,,,,,,,,,,,,,,,,,,,,
185,POINT Z (-99.14183937 19.43425755 0.000),11/25/2022,12:33:34.421,Poor infrastructure,Inestable manhole cover,,,,,,,,,,,,,,,,,,,,,
186,POINT Z (-99.14099749 19.43417978 0.000),11/25/2022,12:35:28.552,Positive elements,Panic button,,,,,,,,,,,,,,,,,,,,,
187,POINT Z (-99.14094351 19.43349210 0.000),11/25/2022,12:38:37.227,Poor infrastructure,Discontinuous pedestrian strip,,,,,,,,,,,,,,,,,,,,,
188,POINT Z (-99.13954005 19.43292867 0.000),11/25/2022,12:42:19.219,Poor infrastructure,Inestable manhole cover,,recolección de datos - centro_20221125_124231870.jpg,,,,,,,,,,,,,,,,,,,
189,POINT Z (-99.13960878 19.43277817 0.000),11/25/2022,12:42:46.262,Positive elements,area map,,,,,,,,,,,,,,,,,,,,,
190,POINT Z (-99.14033130 19.43403276 0.000),11/25/2022,12:45:58.474,Positive elements,area map,,,,,,,,,,,,,,,,,,,,,
191,POINT Z (-99.14079197 19.43412097 0.000),11/25/2022,12:46:11.225,Positive elements,area map,,,,,,,,,,,,,,,,,,,,,
192,POINT Z (-99.14033700 19.43408208 0.000),11/25/2022,12:47:04.455,Positive elements,area map,,,,,,,,,,,,,,,,,,,,,
193,POINT Z (-99.13848728 19.43379341 0.000),11/25/2022,12:55:54.250,Positive elements,area map,,,,,,,,,,,,,,,,,,,,,
194,POINT Z (-99.13859289 19.43254104 0.000),11/25/2022,12:58:22.900,Positive elements,Panic button,,,,,,,,,,,,,,,,,,,,,
195.00,POINT Z (-99.14580703 19.42733005 0.000),11/28/2022,10:45:40.142,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
196.00,POINT Z (-99.14575573 19.42729274 0.000),11/28/2022,10:46:08.846,Physical aspects in poor condition,facade in poor condition,recolección de datos - centro_20221128_104620095.jpg,,,,,,,,,,,,,,,,,,,,
197.00,POINT Z (-99.14542984 19.42722444 0.000),11/28/2022,10:47:36.813,Poor infrastructure,Discontinuous pedestrian strip,recolección de datos - centro_20221128_104748193.jpg,,,,,,,,,,,,,,,,,,,,
198.00,POINT Z (-99.14384063 19.42815498 0.000),11/28/2022,10:52:00.937,Obstacles,Permanent pole,recolección de datos - centro_20221128_105220734.jpg,,,,,,,,,,,,,,,,,,,,
199.00,POINT Z (-99.14426643 19.42818849 0.000),11/28/2022,10:53:13.985,Obstacles,Permanent pole,recolección de datos - centro_20221128_105323769.jpg,,,,,,,,,,,,,,,,,,,,
200.00,POINT Z (-99.14465234 19.42824541 0.000),11/28/2022,10:54:09.680,Obstacles,Permanent pole,,,,,,,,,,,,,,,,,,,,,
201.00,POINT Z (-99.14495274 19.42830769 0.000),11/28/2022,10:55:00.682,Obstacles,Permanent pole,,,,,,,,,,,,,,,,,,,,,
202.00,POINT Z (-99.14524209 19.42837599 0.000),11/28/2022,10:55:47.181,Obstacles,Permanent pole,,,,,,,,,,,,,,,,,,,,,
203.00,POINT Z (-99.14578389 19.42845693 0.000),11/28/2022,10:57:18.531,Physical aspects in poor condition,trash on the street,recolección de datos - centro_20221128_105731133.jpg,,,,,,,,,,,,,,,,,,,,
204.00,POINT Z (-99.14533898 19.42844871 0.000),11/28/2022,10:58:34.970,Obstacles,Planters,recolección de datos - centro_20221128_105850284.jpg,,,,,,,,,,,,,,,,,,,,
205.00,POINT Z (-99.14461680 19.42833678 0.000),11/28/2022,11:00:02.505,Poor infrastructure,Discontinuous pedestrian strip,recolección de datos - centro_20221128_110006471.jpg,,,,,,,,,,,,,,,,,,,,
206.00,POINT Z (-99.14357174 19.42853693 0.000),11/28/2022,11:02:19.860,Physical aspects in poor condition,grafitti,recolección de datos - centro_20221128_110226467.jpg,,,,,,,,,,,,,,,,,,,,
207.00,POINT Z (-99.14346647 19.42885280 0.000),11/28/2022,11:03:14.662,Physical aspects in poor condition,grafitti,recolección de datos - centro_20221128_110322834.jpg,,,,,,,,,,,,,,,,,,,,
208.00,POINT Z (-99.14546605 19.42987723 0.000),11/28/2022,11:07:23.115,Physical aspects in poor condition,grafitti,recolección de datos - centro_20221128_110732114.jpg,,,,,,,,,,,,,,,,,,,,
209.00,POINT Z (-99.14339941 19.42956041 0.000),11/28/2022,11:12:11.029,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
210.00,POINT Z (-99.14342288 19.42937007 0.000),11/28/2022,11:14:37.041,Poor infrastructure,Discontinuous pedestrian strip,recolección de datos - centro_20221128_111451767.jpg,,,,,,,,,,,,,,,,,,,,
211.00,POINT Z (-99.14359957 19.42845219 0.000),11/28/2022,11:16:30.145,Poor infrastructure,incomplete manhole,recolección de datos - centro_20221128_111653006.jpg,,,,,,,,,,,,,,,,,,,,
212.00,POINT Z (-99.14359856 19.42820209 0.000),11/28/2022,11:17:48.102,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
213.00,POINT Z (-99.14361063 19.42702714 0.000),11/28/2022,11:21:13.235,Poor infrastructure,incomplete manhole,recolección de datos - centro_20221128_112123468.jpg,,,,,,,,,,,,,,,,,,,,
214.00,POINT Z (-99.14323546 19.42704074 0.000),11/28/2022,11:22:35.670,Obstacles,movil Informal Commerce ,,,,,,,,,,,,,,,,,,,,,
215.00,POINT Z (-99.14319087 19.42742237 0.000),11/28/2022,11:23:08.440,Poor infrastructure,incomplete manhole,recolección de datos - centro_20221128_112317805.jpg,,,,,,,,,,,,,,,,,,,,
216.00,POINT Z (-99.14305005 19.42797760 0.000),11/28/2022,11:24:41.406,Poor infrastructure,incomplete manhole,recolección de datos - centro_20221128_112453088.jpg,,,,,,,,,,,,,,,,,,,,
217.00,POINT Z (-99.14314426 19.42719915 0.000),11/28/2022,11:26:00.805,Obstacles,vehicles parked on the sidewalk,recolección de datos - centro_20221128_112606731.jpg,,,,,,,,,,,,,,,,,,,,
218.00,POINT Z (-99.14297394 19.42701892 0.000),11/28/2022,11:32:19.696,Poor infrastructure,Inestable manhole cover,,,,,,,,,,,,,,,,,,,,,
219.00,POINT Z (-99.14291997 19.42729685 0.000),11/28/2022,11:32:40.475,Obstacles,moviles Informal Commerce ,,,,,,,,,,,,,,,,,,,,,
220.00,POINT Z (-99.14278015 19.42786598 0.000),11/28/2022,11:32:45.721,Obstacles,moviles Informal Commerce ,,,,,,,,,,,,,,,,,,,,,
221.00,POINT Z (-99.14206468 19.42711156 0.000),11/28/2022,11:33:55.733,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
222.00,POINT Z (-99.14186854 19.42791436 0.000),11/28/2022,11:39:44.361,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
223.00,POINT Z (-99.14184574 19.42799847 0.000),11/28/2022,11:39:56.339,Poor infrastructure,broken manhole cover,,,,,,,,,,,,,,,,,,,,,
224.00,POINT Z (-99.14259575 19.42839401 0.000),11/28/2022,11:43:05.300,,,,,,,,,,,,,,,,,,,,,,,
225.00,POINT Z (-99.14186250 19.42899476 0.000),11/28/2022,11:43:08.630,Poor infrastructure,Inestable manhole cover,recolección de datos - centro_20221128_114312681.jpg,,,,,,,,,,,,,,,,,,,,
226.00,POINT Z (-99.14299775 19.42825521 0.000),11/28/2022,11:49:20.667,Obstacles,vehicle abandoned,,,,,,,,,,,,,,,,,,,,,
227.00,POINT Z (-99.14301854 19.42867605 0.000),11/28/2022,11:50:21.938,Physical aspects in poor condition,grafitti,recolección de datos - centro_20221128_115028372.jpg,,,,,,,,,,,,,,,,,,,,
228.00,POINT Z (-99.14292097 19.42887525 0.000),11/28/2022,11:51:04.812,Physical aspects in poor condition,grafitti,,,,,,,,,,,,,,,,,,,,,
229.00,POINT Z (-99.14295115 19.42901532 0.000),11/28/2022,11:51:19.959,Physical aspects in poor condition,grafitti,recolección de datos - centro_20221128_115122329.jpg,,,,,,,,,,,,,,,,,,,,
230.00,POINT Z (-99.14281636 19.43027246 0.000),11/28/2022,11:55:20.060,Physical aspects in poor condition,grafitti //  parking lot,,,,,,,,,,,,,,,,,,,,,
231.00,POINT Z (-99.14364181 19.43057978 0.000),11/28/2022,12:03:22.715,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
232.00,POINT Z (-99.14536748 19.43091905 0.000),11/28/2022,12:06:31.945,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
233.00,POINT Z (-99.14490011 19.43086182 0.000),11/28/2022,12:07:39.888,Poor infrastructure,broken manhole cover,recolección de datos - centro_20221128_120744375.jpg,,,,,,,,,,,,,,,,,,,,
234.00,POINT Z (-99.14370921 19.43102781 0.000),11/28/2022,12:11:51.113,Physical aspects in poor condition,grafitti,,,,,,,,,,,,,,,,,,,,,
235.00,POINT Z (-99.14313521 19.43135980 0.000),11/28/2022,12:13:59.481,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
236.00,POINT Z (-99.14332062 19.43055006 0.000),11/28/2022,12:15:17.818,aspectos positivos,señalización de lugares de interés,,,,,,,,,,,,,,,,,,,,,
237.00,POINT Z (-99.14322272 19.43062405 0.000),11/28/2022,12:15:52.540,Obstacles,movil Informal Commerce ,,,,,,,,,,,,,,,,,,,,,
238.00,POINT Z (-99.14299943 19.43057725 0.000),11/28/2022,12:16:34.702,Poor infrastructure,ausencia de tapa,recolección de datos - centro_20221128_121638073.jpg,,,,,,,,,,,,,,,,,,,,
239.00,POINT Z (-99.14266415 19.43109737 0.000),11/28/2022,12:18:36.621,Obstacles,fijo poste,,,,,,,,,,,,,,,,,,,,,
240.00,POINT Z (-99.14265946 19.43067148 0.000),11/28/2022,12:20:08.885,Obstacles,movil vehiculo,,,,,,,,,,,,,,,,,,,,,
241.00,POINT Z (-99.14241605 19.43042486 0.000),11/28/2022,12:25:19.673,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
242.00,POINT Z (-99.14243583 19.43044541 0.000),11/28/2022,12:27:32.197,Obstacles,moviles Informal Commerce ,,,,,,,,,,,,,,,,,,,,,
243.00,POINT Z (-99.14249618 19.43045300 0.000),11/28/2022,12:27:34.104,Obstacles,moviles Informal Commerce ,,,,,,,,,,,,,,,,,,,,,
244.00,POINT Z (-99.14267890 19.42922684 0.000),11/28/2022,12:31:49.491,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
245.00,POINT Z (-99.14261553 19.42984593 0.000),11/28/2022,12:33:14.117,Poor infrastructure,Inestable manhole cover,recolección de datos - centro_20221128_123318307.jpg,,,,,,,,,,,,,,,,,,,,
246.00,POINT Z (-99.14187759 19.42911396 0.000),11/28/2022,12:37:52.975,Physical aspects in poor condition,grafitti,,,,,,,,,,,,,,,,,,,,,
247.00,POINT Z (-99.14154936 19.43011531 0.000),11/28/2022,12:38:06.541,Poor infrastructure,Discontinuous pedestrian strip,,,,,,,,,,,,,,,,,,,,,
248.00,POINT Z (-99.14150376 19.43070879 0.000),11/28/2022,12:39:09.007,Physical aspects in poor condition,grafitti,recolección de datos - centro_20221128_123917359.jpg,,,,,,,,,,,,,,,,,,,,
249.00,POINT Z (-99.14356671 19.43148564 0.000),11/28/2022,12:46:38.288,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
250.00,POINT Z (-99.14317779 19.43153433 0.000),11/28/2022,13:00:48.912,Obstacles,movil Informal Commerce ,,,,,,,,,,,,,,,,,,,,,
251.00,POINT Z (-99.14300043 19.43220905 0.000),11/28/2022,13:02:09.239,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
252.00,POINT Z (-99.14307989 19.43222613 0.000),11/28/2022,13:02:18.704,Poor infrastructure,Inestable manhole cover,,,,,,,,,,,,,,,,,,,,,
253.00,POINT Z (-99.14297696 19.43224099 0.000),11/28/2022,13:02:36.766,Incivility,basura,,,,,,,,,,,,,,,,,,,,,
254.00,POINT Z (-99.14226383 19.43206330 0.000),11/28/2022,13:06:08.470,Poor infrastructure,broken manhole cover,recolección de datos - centro_20221128_130612810.jpg,,,,,,,,,,,,,,,,,,,,
255.00,POINT Z (-99.14226182 19.43162950 0.000),11/28/2022,13:07:22.194,Poor infrastructure,banqueta rota,recolección de datos - centro_20221128_130727060.jpg,,,,,,,,,,,,,,,,,,,,
256.00,POINT Z (-99.14144341 19.43200480 0.000),11/28/2022,13:12:59.988,Poor infrastructure,broken manhole cover,recolección de datos - centro_20221128_131304802.jpg,,,,,,,,,,,,,,,,,,,,
257.00,POINT Z (-99.14219677 19.43208100 0.000),11/28/2022,13:14:38.898,Poor infrastructure,broken manhole cover,recolección de datos - centro_20221128_131447928.jpg,,,,,,,,,,,,,,,,,,,,
258.00,POINT Z (-99.14432377 19.43240382 0.000),11/28/2022,13:18:33.672,Poor infrastructure,ausencia de tapa,recolección de datos - centro_20221128_131838397.jpg,,,,,,,,,,,,,,,,,,,,
259.00,POINT Z (-99.14349463 19.43238706 0.000),11/28/2022,13:22:20.946,Poor infrastructure,Inestable manhole cover,recolección de datos - centro_20221128_132223332.jpg,,,,,,,,,,,,,,,,,,,,
260.00,POINT Z (-99.14332397 19.43297009 0.000),11/28/2022,13:23:45.158,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
261.00,POINT Z (-99.14328843 19.43311996 0.000),11/28/2022,13:24:20.465,aspectos positivos,mapa de la zona,,,,,,,,,,,,,,,,,,,,,
262.00,POINT Z (-99.14509289 19.43343076 0.000),11/28/2022,13:27:51.537,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
263.00,POINT Z (-99.14304636 19.43317782 0.000),11/28/2022,13:31:20.566,aspectos positivos,mapa de la zona,,,,,,,,,,,,,,,,,,,,,
264.00,POINT Z (-99.14234899 19.43299222 0.000),11/28/2022,13:33:02.597,aspectos positivos,mapa de la zona,,,,,,,,,,,,,,,,,,,,,
265.00,POINT Z (-99.14317980 19.43310447 0.000),11/28/2022,13:35:23.546,Poor infrastructure,Inestable manhole cover,recolección de datos - centro_20221128_133532445.jpg,,,,,,,,,,,,,,,,,,,,
266.00,POINT Z (-99.14305910 19.43229916 0.000),11/28/2022,13:37:42.405,Poor infrastructure,Inestable manhole cover,recolección de datos - centro_20221128_133753391.jpg,,,,,,,,,,,,,,,,,,,,
267.00,POINT Z (-99.14300278 19.43234153 0.000),11/28/2022,13:38:50.837,aspectos positivos,mapa de la zona,,,,,,,,,,,,,,,,,,,,,
268.00,POINT Z (-99.14215486 19.43285469 0.000),11/28/2022,13:45:49.554,Poor infrastructure,Inestable manhole cover,recolección de datos - centro_20221128_134602324.jpg,,,,,,,,,,,,,,,,,,,,
269.00,POINT Z (-99.14145615 19.43207752 0.000),11/28/2022,13:50:08.130,Incivility,persona en situacion de calle,,,,,,,,,,,,,,,,,,,,,
270.00,POINT Z (-99.14151683 19.43301183 0.000),11/28/2022,13:51:49.192,Incivility,persona en situación de calle,,,,,,,,,,,,,,,,,,,,,
271.00,POINT Z (-99.14111987 19.43325086 0.000),11/28/2022,13:53:13.453,Poor infrastructure,broken manhole cover,recolección de datos - centro_20221128_135316357.jpg,,,,,,,,,,,,,,,,,,,,
272.00,POINT Z (-99.14104644 19.43357304 0.000),11/28/2022,13:54:24.089,Poor infrastructure,broken manhole cover 2,recolección de datos - centro_20221128_135433072.jpg,,,,,,,,,,,,,,,,,,,,
273.00,POINT Z (-99.14085802 19.43485291 0.000),11/28/2022,14:00:48.227,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
274.00,POINT Z (-99.14202344 19.43628643 0.000),11/29/2022,11:42:10.681,aspectos positivos,policía,,,,,,,,,,,,,,,,,,,,,
275.00,POINT Z (-99.14375983 19.43664275 0.000),11/29/2022,11:49:49.119,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
276.00,POINT Z (-99.14378196 19.43662125 0.000),11/29/2022,11:49:53.613,aspectos positivos,policía,,,,,,,,,,,,,,,,,,,,,
277.00,POINT Z (-99.14292298 19.43557473 0.000),11/29/2022,11:55:49.990,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
278.00,POINT Z (-99.14209049 19.43503977 0.000),11/29/2022,12:09:52.430,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
279.00,POINT Z (-99.14183702 19.43442829 0.000),11/29/2022,12:12:06.081,aspectos positivos,policía,,,,,,,,,,,,,,,,,,,,,
280.00,POINT Z (-99.14054453 19.43602812 0.000),11/29/2022,12:20:17.572,aspectos positivos,policía,,,,,,,,,,,,,,,,,,,,,
281.00,POINT Z (-99.14030280 19.43774206 0.000),11/29/2022,12:28:39.726,Physical aspects in poor condition,grafitti,,,,,,,,,,,,,,,,,,,,,
282.00,POINT Z (-99.14029475 19.43770729 0.000),11/29/2022,12:29:10.155,Incivility,persona en situación de calle,,,,,,,,,,,,,,,,,,,,,
283.00,POINT Z (-99.14031889 19.43758398 0.000),11/29/2022,12:29:31.411,Physical aspects in poor condition,Abandoned building,,,,,,,,,,,,,,,,,,,,,
284.00,POINT Z (-99.14031923 19.43755395 0.000),11/29/2022,12:29:49.213,Incivility,persona en situación de calle,,,,,,,,,,,,,,,,,,,,,
285.00,POINT Z (-99.14032426 19.43761022 0.000),11/29/2022,12:31:25.814,Incivility,presencia de basura,,,,,,,,,,,,,,,,,,,,,
286.00,POINT Z (-99.14032526 19.43756406 0.000),11/29/2022,12:32:04.451,Incivility,drogadiccion,,,,,,,,,,,,,,,,,,,,,
287.00,POINT Z (-99.14022334 19.43803736 0.000),11/29/2022,12:32:22.991,Physical aspects in poor condition,grafitti,,,,,,,,,,,,,,,,,,,,,
288.00,POINT Z (-99.14009225 19.43874684 0.000),11/29/2022,12:33:38.293,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
289.00,POINT Z (-99.13994908 19.43923658 0.000),11/29/2022,12:34:57.520,Incivility,personas en situación de calle,,,,,,,,,,,,,,,,,,,,,
290.00,POINT Z (-99.14001781 19.43942217 0.000),11/29/2022,12:36:01.534,Physical aspects in poor condition,Abandoned building,recolección de datos - centro_20221129_123610281.jpg,,,,,,,,,,,,,,,,,,,,
291.00,POINT Z (-99.13995277 19.43969881 0.000),11/29/2022,12:37:11.441,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
292.00,POINT Z (-99.13988873 19.44021320 0.000),11/29/2022,12:39:13.391,Physical aspects in poor condition,Abandoned building,,,,,,,,,,,,,,,,,,,,,
293.00,POINT Z (-99.13973518 19.44089516 0.000),11/29/2022,12:39:37.899,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
294.00,POINT Z (-99.13932279 19.44074277 0.000),11/29/2022,12:41:28.214,Incivility,persona en situación de calle,,,,,,,,,,,,,,,,,,,,,
295.00,POINT Z (-99.13859323 19.44079368 0.000),11/29/2022,12:43:57.972,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
296.00,POINT Z (-99.13715925 19.44088125 0.000),11/29/2022,12:46:53.757,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
297.00,POINT Z (-99.13738791 19.44071969 0.000),11/29/2022,12:47:17.076,aspectos positivos,mapa de la zona,,,,,,,,,,,,,,,,,,,,,
298.00,POINT Z (-99.13748045 19.43963526 0.000),11/29/2022,12:49:33.408,Physical aspects in poor condition,Vacant lots,,,,,,,,,,,,,,,,,,,,,
299.00,POINT Z (-99.13840346 19.43962862 0.000),11/29/2022,12:51:21.265,Physical aspects in poor condition,grafitti,,,,,,,,,,,,,,,,,,,,,
300.00,POINT Z (-99.13860060 19.43963399 0.000),11/29/2022,12:51:33.782,Incivility,personas en situacion de calle,,,,,,,,,,,,,,,,,,,,,
301.00,POINT Z (-99.13899254 19.43968015 0.000),11/29/2022,12:53:37.509,Incivility,persona en situacion de calle,,,,,,,,,,,,,,,,,,,,,
302.00,POINT Z (-99.13910151 19.43960902 0.000),11/29/2022,12:53:56.309,Incivility,persona en situacion de calle,,,,,,,,,,,,,,,,,,,,,
303.00,POINT Z (-99.13911559 19.43958278 0.000),11/29/2022,12:54:25.724,Incivility,presencia de basura,,,,,,,,,,,,,,,,,,,,,
304.00,POINT Z (-99.13898818 19.43960111 0.000),11/29/2022,12:57:05.103,Incivility,drogadiccion,,,,,,,,,,,,,,,,,,,,,
305.00,POINT Z (-99.13909983 19.43963305 0.000),11/29/2022,12:57:26.494,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
306.00,POINT Z (-99.13757700 19.43950247 0.000),11/29/2022,12:58:40.673,Physical aspects in poor condition,eduficio abandonado,,,,,,,,,,,,,,,,,,,,,
307.00,POINT Z (-99.13747776 19.43951733 0.000),11/29/2022,13:00:35.318,Obstacles,fijo poste,,,,,,,,,,,,,,,,,,,,,
308.00,POINT Z (-99.13781136 19.43833867 0.000),11/29/2022,13:01:27.905,Incivility,persona en situacion de calle,,,,,,,,,,,,,,,,,,,,,
309.00,POINT Z (-99.13937643 19.43869372 0.000),11/29/2022,13:04:30.284,Incivility,personas en situación de calle,,,,,,,,,,,,,,,,,,,,,
310.00,POINT Z (-99.13940996 19.43873577 0.000),11/29/2022,13:04:47.605,Incivility,drogadicción,,,,,,,,,,,,,,,,,,,,,
311.00,POINT Z (-99.13952295 19.43853785 0.000),11/29/2022,13:07:12.760,Incivility,persona en situacion de calle,,,,,,,,,,,,,,,,,,,,,
312.00,POINT Z (-99.13888022 19.43840854 0.000),11/29/2022,13:07:49.258,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
313.00,POINT Z (-99.13891409 19.43827449 0.000),11/29/2022,13:08:31.537,aspectos positivos,mapa de la zona,,,,,,,,,,,,,,,,,,,,,
314.00,POINT Z (-99.13894728 19.43833298 0.000),11/29/2022,13:08:48.042,Incivility,persona en situacion de calle,,,,,,,,,,,,,,,,,,,,,
315.00,POINT Z (-99.13905490 19.43760674 0.000),11/29/2022,13:09:31.331,aspectos positivos,Panic button,,,,,,,,,,,,,,,,,,,,,
